"Day","Feedback","Visits"
2012-06-11,FALSE,7419
2012-06-12,TRUE,2370
2012-06-13,TRUE,1744
2012-06-14,TRUE,1743
2012-06-15,FALSE,1569
2012-06-16,FALSE,1539
2012-06-17,FALSE,1630
2012-06-18,FALSE,2004
2012-06-19,TRUE,2188
2012-06-20,FALSE,1888
2012-06-21,TRUE,1651
2012-06-22,FALSE,1421
2012-06-23,FALSE,1488
2012-06-24,TRUE,1543
2012-06-25,TRUE,1807
2012-06-26,TRUE,1667
2012-06-27,FALSE,1658
2012-06-28,FALSE,1542
2012-06-29,FALSE,1483
2012-06-30,FALSE,1363
2012-07-01,FALSE,1783
2012-07-02,FALSE,1994
2012-07-03,TRUE,1712
2012-07-04,FALSE,5293
2012-07-05,TRUE,11023
2012-07-06,FALSE,2754
2012-07-07,FALSE,2356
2012-07-08,FALSE,2645
2012-07-09,FALSE,2769
2012-07-10,FALSE,2553
2012-07-11,FALSE,2798
2012-07-12,FALSE,2531
2012-07-13,FALSE,2268
2012-07-14,FALSE,2344
2012-07-15,FALSE,2368
2012-07-16,FALSE,2738
2012-07-17,FALSE,3179
2012-07-18,FALSE,2891
2012-07-19,TRUE,3933
2012-07-20,FALSE,3724
2012-07-21,FALSE,3575
2012-07-22,FALSE,3521
2012-07-23,FALSE,3153
2012-07-24,FALSE,4605
2012-07-25,FALSE,2941
2012-07-26,FALSE,3021
2012-07-27,FALSE,2666
2012-07-28,FALSE,2407
2012-07-29,FALSE,2515
2012-07-30,FALSE,7375
2012-07-31,TRUE,3880
2012-08-01,FALSE,3190
2012-08-02,FALSE,2750
2012-08-03,FALSE,2462
2012-08-04,FALSE,2266
2012-08-05,FALSE,2579
2012-08-06,FALSE,3072
2012-08-07,FALSE,4189
2012-08-08,FALSE,4557
2012-08-09,FALSE,3884
2012-08-10,FALSE,3537
2012-08-11,FALSE,2897
2012-08-12,FALSE,2813
2012-08-13,FALSE,3769
2012-08-14,FALSE,3406
2012-08-15,FALSE,4100
2012-08-16,FALSE,5667
2012-08-17,FALSE,3784
2012-08-18,FALSE,2806
2012-08-19,FALSE,3079
2012-08-20,FALSE,3200
2012-08-21,FALSE,3122
2012-08-22,FALSE,2968
2012-08-23,FALSE,2925
2012-08-24,FALSE,2596
2012-08-25,FALSE,2344
2012-08-26,FALSE,2657
2012-08-27,FALSE,2912
2012-08-28,FALSE,4796
2012-08-29,FALSE,4425
2012-08-30,FALSE,3753
2012-08-31,FALSE,2777
2012-09-01,FALSE,3200
2012-09-02,FALSE,3292
2012-09-03,FALSE,3105
2012-09-04,FALSE,2815
2012-09-05,FALSE,2801
2012-09-06,FALSE,2595
2012-09-07,FALSE,2207
2012-09-08,FALSE,2140
2012-09-09,FALSE,2544
2012-09-10,TRUE,2853
2012-09-11,FALSE,2547
2012-09-12,FALSE,2559
2012-09-13,FALSE,2713
2012-09-14,FALSE,2121
2012-09-15,FALSE,1746
2012-09-16,FALSE,2324
2012-09-17,FALSE,2591
2012-09-18,FALSE,2496
2012-09-19,FALSE,2567
2012-09-20,FALSE,2464
2012-09-21,FALSE,2167
2012-09-22,TRUE,2180
2012-09-23,FALSE,2611
2012-09-24,TRUE,2929
2012-09-25,FALSE,2657
2012-09-26,FALSE,2649
2012-09-27,FALSE,2730
2012-09-28,FALSE,2266
2012-09-29,FALSE,1928
2012-09-30,FALSE,2184
2012-10-01,FALSE,2581
2012-10-02,FALSE,2838
2012-10-03,TRUE,2525
2012-10-04,TRUE,2513
2012-10-05,FALSE,2164
2012-10-06,FALSE,2080
2012-10-07,FALSE,2285
2012-10-08,FALSE,2746
2012-10-09,FALSE,2553
2012-10-10,FALSE,2554
2012-10-11,FALSE,2437
2012-10-12,FALSE,2091
2012-10-13,FALSE,2083
2012-10-14,FALSE,2668
2012-10-15,FALSE,2800
2012-10-16,TRUE,2529
2012-10-17,FALSE,2870
2012-10-18,FALSE,2408
2012-10-19,FALSE,2032
2012-10-20,FALSE,1706
2012-10-21,FALSE,2168
2012-10-22,FALSE,2259
2012-10-23,FALSE,2172
2012-10-24,FALSE,2468
2012-10-25,FALSE,1937
2012-10-26,FALSE,1718
2012-10-27,FALSE,1632
2012-10-28,FALSE,2055
2012-10-29,FALSE,2204
2012-10-30,FALSE,2173
2012-10-31,TRUE,1826
2012-11-01,FALSE,2021
2012-11-02,FALSE,2076
2012-11-03,FALSE,1787
2012-11-04,TRUE,2183
2012-11-05,TRUE,2137
2012-11-06,FALSE,2344
2012-11-07,FALSE,2221
2012-11-08,FALSE,2214
2012-11-09,FALSE,2131
2012-11-10,TRUE,2380
2012-11-11,FALSE,2381
2012-11-12,FALSE,3316
2012-11-13,FALSE,2774
2012-11-14,FALSE,2325
2012-11-15,FALSE,2382
2012-11-16,FALSE,1949
2012-11-17,FALSE,1766
2012-11-18,FALSE,2314
2012-11-19,FALSE,5526
2012-11-20,FALSE,4160
2012-11-21,FALSE,2748
2012-11-22,FALSE,2212
2012-11-23,TRUE,2107
2012-11-24,FALSE,1932
2012-11-25,TRUE,2237
2012-11-26,FALSE,2908
2012-11-27,FALSE,2785
2012-11-28,FALSE,2756
2012-11-29,FALSE,2549
2012-11-30,FALSE,2286
2012-12-01,FALSE,1948
2012-12-02,FALSE,2351
2012-12-03,FALSE,2460
2012-12-04,FALSE,2739
2012-12-05,FALSE,4426
2012-12-06,FALSE,2865
2012-12-07,FALSE,2420
2012-12-08,FALSE,2108
2012-12-09,FALSE,2465
2012-12-10,FALSE,2582
2012-12-11,FALSE,2781
2012-12-12,FALSE,2401
2012-12-13,FALSE,2315
2012-12-14,FALSE,2025
2012-12-15,FALSE,1796
2012-12-16,FALSE,2205
2012-12-17,FALSE,2350
2012-12-18,FALSE,2330
2012-12-19,FALSE,2209
2012-12-20,FALSE,2135
2012-12-21,FALSE,1867
2012-12-22,FALSE,1602
2012-12-23,TRUE,1710
2012-12-24,FALSE,1344
2012-12-25,FALSE,1601
2012-12-26,FALSE,2243
2012-12-27,FALSE,2302
2012-12-28,FALSE,2220
2012-12-29,FALSE,3386
2012-12-30,FALSE,2160
2012-12-31,FALSE,1861
2013-01-01,TRUE,3303
2013-01-02,FALSE,3405
2013-01-03,FALSE,3651
2013-01-04,TRUE,11400
2013-01-05,TRUE,17866
2013-01-06,FALSE,5080
2013-01-07,FALSE,3834
2013-01-08,FALSE,3628
2013-01-09,FALSE,3477
2013-01-10,TRUE,3388
