"Product","Dead","Started","Ended","Hits","Type","Profit","FLOSS","Acquisition","Social","Days","AvgHits","DeflatedHits","AvgDeflatedHits"
"Reader Play",TRUE,2010-03-10,2013-07-01,43500,"service",FALSE,FALSE,FALSE,FALSE,1209,37.9912663755458,3.4921992691017e-07,-0.24465045607236
"iGoogle",TRUE,2005-05-01,2013-11-01,33600000,"service",TRUE,FALSE,FALSE,TRUE,3106,11510.7913669065,0.00400059816818186,-1.69362667646339
"Blocked Sites",TRUE,2011-03-10,2013-03-25,426000,"service",FALSE,FALSE,FALSE,FALSE,746,546.153846153846,1.96358745638608e-06,-0.479645890694585
"SearchWiki",TRUE,2008-11-20,2010-03-03,135000,"service",FALSE,FALSE,FALSE,FALSE,468,83.3333333333333,2.23117413394723e-06,-0.339879700705446
"Base",TRUE,2005-11-15,2009-11-19,1190000,"service",TRUE,FALSE,FALSE,FALSE,1465,437.33921352444,0.000104861273047571,-0.663624782007083
"Voice Local Search (GOOG-411)",TRUE,2007-04-06,2010-11-12,128000,"service",FALSE,FALSE,FALSE,FALSE,1316,57.8139114724481,5.21869766164014e-06,-0.333564236609267
"Mashup Editor",TRUE,2007-05-31,2009-06-15,57600,"service",FALSE,FALSE,FALSE,FALSE,746,26.6790180639185,2.1600521539996e-06,-0.251727268312314
"Page Creator",TRUE,2006-02-23,2009-06-01,486000,"service",TRUE,FALSE,FALSE,FALSE,1194,185.425410148798,3.67862484301969e-05,-0.511503919724219
"Video Marketplace",TRUE,2006-01-06,2007-08-10,484000,"service",TRUE,FALSE,FALSE,FALSE,581,181.341326339453,3.94079351937819e-05,-0.512780042557519
"Academic API",TRUE,2007-08-21,2012-01-15,2040,"service",FALSE,FALSE,FALSE,FALSE,1608,0.982185844968705,6.75361648853163e-08,0.00108867843689793
"Picnik",TRUE,2010-03-01,2012-04-19,5950000,"service",FALSE,FALSE,TRUE,TRUE,780,5155.97920277296,4.84248662611757e-05,-0.860340679025058
"Web Accelerator",TRUE,2005-05-04,2008-01-20,486000,"program",FALSE,FALSE,FALSE,FALSE,991,166.666666666667,5.76025030506543e-05,-0.524075484261069
"Video Player",TRUE,2005-06-27,2007-08-17,22300000,"program",TRUE,FALSE,FALSE,FALSE,781,7791.75401816911,0.00243477999551853,-1.48902822377054
"Squared",TRUE,2009-06-03,2011-09-05,6530000,"service",FALSE,FALSE,FALSE,FALSE,824,4582.45614035088,8.02372355686776e-05,-0.893904879665029
"Slide.com",TRUE,2010-08-04,2012-03-06,2420000,"service",TRUE,FALSE,TRUE,TRUE,580,2424.8496993988,1.55373623002151e-05,-0.70387822683176
"PowerMeter",TRUE,2009-10-05,2011-06-24,223000,"program",TRUE,FALSE,FALSE,FALSE,627,171.406610299769,2.26936399751235e-06,-0.395816731339896
"Audio Ads",TRUE,2007-12-07,2009-05-31,99400,"service",TRUE,FALSE,TRUE,FALSE,541,50.4824784154393,2.79249344960826e-06,-0.306650749919892
"Print Ads",TRUE,2006-11-29,2009-03-31,2770000,"service",TRUE,FALSE,FALSE,FALSE,853,1182.74978650726,0.000137194332998663,-0.795537229136223
"Real Estate",TRUE,2009-06-06,2011-02-10,61600,"service",TRUE,FALSE,FALSE,FALSE,614,43.3192686357243,7.53464717277725e-07,-0.267303272018479
"SearchMash",TRUE,2006-10-01,2008-11-24,88500,"service",FALSE,FALSE,FALSE,FALSE,785,36.85964181591,4.79458304725904e-06,-0.29450605999656
"Blogger Web Comments",TRUE,2005-12-14,2008-01-02,38700,"service",FALSE,FALSE,FALSE,FALSE,749,14.3759286775632,3.263124459057e-06,-0.211002297914916
"City Tours",TRUE,2009-06-25,2011-09-06,1040000,"service",FALSE,FALSE,FALSE,FALSE,803,741.268709907341,1.23586760898751e-05,-0.584751276679419
"News Timeline",TRUE,2009-04-20,2011-08-17,120000,"service",FALSE,FALSE,FALSE,FALSE,849,81.6882232811436,1.57649411283487e-06,-0.329551545123518
"Click-to-Call",TRUE,2006-11-15,2007-07-19,22300000,"service",TRUE,FALSE,FALSE,FALSE,246,9465.19524617997,0.00112824629852871,-1.34893976837376
"Related Links",TRUE,2006-04-04,2007-04-30,77300000,"service",FALSE,FALSE,FALSE,FALSE,391,29949.6319256102,0.0055058091145402,-1.98142413123816
"Dashboard Widgets for Mac",TRUE,2006-02-23,2008-12-17,46600,"program",FALSE,FALSE,FALSE,FALSE,1028,17.7794734834033,3.52724110462381e-06,-0.229235035146837
"Joga Bonito",TRUE,2006-03-19,2008-01-01,397000,"service",FALSE,FALSE,FALSE,TRUE,653,152.86869464767,2.89731151677536e-05,-0.481338969415828
"Music Trends",TRUE,2006-08-16,2008-08-30,76000,"service",FALSE,FALSE,FALSE,FALSE,745,31.0584389047814,4.41560154697925e-06,-0.278651130176369
"Send to Phone",TRUE,2005-07-01,2008-07-01,5710000,"service",FALSE,FALSE,FALSE,FALSE,1096,1997.90062981106,0.000619655362878168,-1.02890537358007
"Google Sets",TRUE,2002-05-21,2011-09-05,156000,"service",FALSE,FALSE,FALSE,FALSE,3394,39.0488110137672,9.53397449164286e-05,-0.395850851069026
"Rebang",TRUE,2007-03-15,2011-09-05,114000,"service",FALSE,FALSE,FALSE,FALSE,1635,50.9838998211091,4.80597142787104e-06,-0.321053554088066
