"Product","Dead","Started","Ended","Hits","Type","Profit","FLOSS","Acquisition","Social","Days","AvgHits","DeflatedHits","AvgDeflatedHits"
"Cloud Print",FALSE,2011-01-24,2013-04-01,1280000,"service",FALSE,FALSE,FALSE,FALSE,798,1551.51515151515,6.31770204792736e-06,-0.613672913504872
"Code",FALSE,2005-03-17,2013-04-01,14300000,"service",FALSE,FALSE,FALSE,FALSE,2937,4824.56140350877,0.00182318278835374,-1.34473512910576
"Compute Engine",FALSE,2012-06-29,2013-04-01,218000,"service",TRUE,FALSE,FALSE,FALSE,276,719.47194719472,4.86616495908073e-07,-0.452573802969044
"Consumer Surveys",FALSE,2012-03-29,2013-04-01,175000,"service",TRUE,FALSE,FALSE,FALSE,368,443.037974683544,4.49268326366518e-07,-0.416926880180443
"Contacts",FALSE,2007-01-01,2013-04-01,1220000,"service",FALSE,FALSE,FALSE,FALSE,2282,528.367258553486,5.74685164420395e-05,-0.642115538407931
"Correlate",FALSE,2011-05-25,2013-04-01,75500,"service",FALSE,FALSE,FALSE,FALSE,677,107.244318181818,3.10036775622985e-07,-0.311953171785491
"Currents",FALSE,2011-12-08,2013-04-01,10600000,"program",TRUE,FALSE,FALSE,FALSE,480,20907.2978303748,3.22637485778042e-05,-0.961929099864668
"Custom Search",FALSE,2006-05-10,2013-04-01,96600000,"service",TRUE,FALSE,FALSE,FALSE,2518,37956.7779960707,0.00651406318118983,-2.09468401484772
"Dart",FALSE,2011-10-10,2013-04-01,181000,"program",FALSE,TRUE,FALSE,FALSE,539,319.787985865724,6.0261329022598e-07,-0.402713461561367
"Dashboard",FALSE,2009-11-05,2013-04-01,193000,"service",FALSE,FALSE,FALSE,FALSE,1243,151.968503937008,1.87365979163523e-06,-0.380938672572291
"DataWiki",FALSE,2010-11-13,2013-04-01,158000,"service",FALSE,TRUE,FALSE,FALSE,870,176.142697881828,8.70041342957971e-07,-0.370576590419996
"Developers",FALSE,2011-09-23,2013-04-01,965000,"service",FALSE,FALSE,FALSE,FALSE,556,1655.23156089194,3.29693710910498e-06,-0.587180543166131
"Docs",FALSE,2006-06-06,2013-04-01,17500000,"service",TRUE,FALSE,TRUE,FALSE,2491,6949.96028594122,0.00113262925922894,-1.30417406613798
"DoubleClick",FALSE,2007-04-13,2013-04-01,9430000,"service",TRUE,FALSE,TRUE,FALSE,2180,4272.76846397825,0.000380401775224552,-1.0616862150988
"DoubleClick for Publishers",FALSE,2010-02-22,2013-04-01,1220000,"service",TRUE,FALSE,FALSE,FALSE,1134,1050.81826012059,1.00353522289821e-05,-0.604490813167111
"Drive",FALSE,2012-04-24,2013-04-01,15500000,"service",TRUE,FALSE,FALSE,FALSE,342,42005.4200542005,3.82502720420092e-05,-1.04662051659552
"Drive Android app",FALSE,2012-04-24,2013-04-01,183000,"program",FALSE,FALSE,FALSE,FALSE,342,495.934959349593,4.51599986044366e-07,-0.4247943562025
"Earth",FALSE,2005-06-28,2013-04-01,1.15e+08,"program",TRUE,FALSE,TRUE,FALSE,2834,40195.7357567284,0.0125369678697178,-2.4209495512158
"Earth Engine",FALSE,2010-12-02,2013-04-01,790000,"service",FALSE,FALSE,FALSE,FALSE,851,899.772209567198,4.22635814657514e-06,-0.54970488437421
"FeedBurner",FALSE,2007-06-03,2013-04-01,46900000,"service",TRUE,FALSE,TRUE,TRUE,2129,21753.2467532468,0.00175078988350826,-1.57341034060373
"Fetch as Google",FALSE,2009-10-12,2013-04-01,136000,"service",FALSE,FALSE,FALSE,FALSE,1267,105.100463678516,1.36935761296639e-06,-0.344778792890432
"Fiber",FALSE,2010-02-10,2013-04-01,2260000,"other",TRUE,FALSE,FALSE,FALSE,1146,1926.68371696505,1.89323053727482e-05,-0.695522330394258
"Field Trip",FALSE,2012-09-27,2013-04-01,6670000,"program",TRUE,FALSE,FALSE,FALSE,186,31314.5539906103,1.29849154627062e-05,-0.92002255715045
"Finance",FALSE,2006-03-21,2013-04-01,5170000,"service",TRUE,FALSE,FALSE,FALSE,2568,1992.29287090559,0.000376161938944832,-0.963420239226498
"Finance for Android",FALSE,2009-03-03,2013-04-01,879000,"program",FALSE,FALSE,FALSE,FALSE,1490,579.433091628214,1.24219298050544e-05,-0.563210310006544
"Flights",FALSE,2011-09-13,2013-04-01,151000,"service",TRUE,FALSE,TRUE,FALSE,566,254.637436762226,5.23796015205638e-07,-0.383057535759369
"Flu Trends",FALSE,2008-11-11,2013-04-01,8530000,"service",FALSE,FALSE,FALSE,FALSE,1602,5236.34131368938,0.000142919152847375,-0.967260187087254
"Flu Vaccine Finder",TRUE,2009-10-10,2012-04-20,345000,"service",FALSE,TRUE,FALSE,FALSE,923,266.203703703704,3.48431528425734e-06,-0.444350729342771
"Freebase",FALSE,2010-07-16,2013-04-01,2890000,"service",FALSE,TRUE,TRUE,FALSE,990,2841.69124877089,1.90986806545e-05,-0.731845593129042
"Friend Connect",FALSE,2008-05-12,2013-04-01,3e+06,"service",FALSE,FALSE,FALSE,TRUE,1785,1655.62913907285,6.63861230448072e-05,-0.770469751972148
"Fusion Tables",FALSE,2009-06-09,2013-04-01,371000,"service",FALSE,FALSE,FALSE,FALSE,1392,261.451726568006,4.51726480267095e-06,-0.452261034637985
"Gadgets",FALSE,2006-05-10,2013-04-01,1550000,"service",FALSE,FALSE,FALSE,FALSE,2518,609.037328094303,0.000104521717710603,-0.699519816412921
"Gadgets API",FALSE,2006-05-10,2013-04-01,814000,"service",FALSE,FALSE,FALSE,FALSE,2518,319.842829076621,5.48907601396327e-05,-0.587944178931332
"Generate Your Projects",FALSE,2009-05-19,2013-04-01,7350000,"service",FALSE,TRUE,FALSE,FALSE,1413,5104.16666666667,9.23959542995499e-05,-0.919089212201375
"Gmail",FALSE,2004-04-01,2013-04-01,3.27e+08,"service",TRUE,FALSE,FALSE,TRUE,3287,98672.2993361497,0.0709754569822838,-4.34696743201374
"Gmail App",FALSE,2006-11-02,2013-04-01,738000,"program",FALSE,FALSE,FALSE,FALSE,2342,311.523849725623,3.80835897051373e-05,-0.564232496749802
"Gmail Notifier",FALSE,2004-08-23,2013-04-01,1130000,"program",FALSE,FALSE,FALSE,FALSE,3143,356.466876971609,0.000197047814741478,-0.688724466256545
"Go",FALSE,2009-11-10,2013-04-01,840000,"program",FALSE,TRUE,FALSE,FALSE,1238,664.03162055336,8.09304149918384e-06,-0.554251906484789
"Goggles",FALSE,2009-12-04,2013-04-01,1330000,"program",FALSE,FALSE,FALSE,FALSE,1214,1071.71635777599,1.23549097702839e-05,-0.617355505722101
"goo.gl",FALSE,2009-12-14,2013-04-01,48600000,"service",FALSE,FALSE,FALSE,FALSE,1204,39480.0974817222,0.000444654112032781,-1.37124367922264
"Google+",FALSE,2011-06-28,2013-04-01,2.42e+09,"service",TRUE,FALSE,FALSE,TRUE,643,3611940.29850746,0.00943702679753048,-3.23812685531963
"Grants",FALSE,2003-04-01,2013-04-01,184000,"other",FALSE,FALSE,FALSE,FALSE,3653,50,6.96638652459295e-05,-0.408701731320372
"Groups",FALSE,2001-02-12,2013-04-01,3.9e+07,"service",TRUE,FALSE,TRUE,FALSE,4431,8748.31763122477,0.048181649060671,-2.99284006857014
"Hotel Finder",FALSE,2011-07-28,2013-04-01,532000,"service",TRUE,FALSE,FALSE,FALSE,613,831.25,1.98210097112255e-06,-0.511975460577045
"Hotpot",FALSE,2010-11-15,2013-04-01,83900,"service",TRUE,FALSE,FALSE,TRUE,868,93.7430167597765,4.60600478997403e-07,-0.311194551434609
"I10-index",FALSE,2011-07-20,2013-04-01,978000,"service",FALSE,FALSE,FALSE,FALSE,621,1509.25925925926,3.68837025978905e-06,-0.585066634850561
"Ideas",FALSE,2010-10-17,2013-04-01,155000,"other",FALSE,FALSE,FALSE,FALSE,897,167.748917748918,8.89282228772184e-07,-0.367653989593642
"Image Search",FALSE,2001-07-12,2013-04-01,2.6e+07,"service",TRUE,FALSE,FALSE,FALSE,4281,6035.28319405757,0.0255718412433193,-2.37445510802508
"IME",FALSE,2007-04-04,2013-04-01,247000,"program",FALSE,FALSE,FALSE,FALSE,2189,111.462093862816,1.01011192813887e-05,-0.409783549251911
"Insights for Search",FALSE,2008-08-05,2013-04-01,532000,"service",FALSE,FALSE,FALSE,FALSE,1700,308.04863925883,1.03455024998561e-05,-0.499196647799688
"Intersection Explorer",FALSE,2010-10-13,2013-04-01,39500,"program",FALSE,FALSE,FALSE,FALSE,901,42.5646551724138,2.28005733681102e-07,-0.245262845288528
"Japanese Input",FALSE,2009-12-03,2013-04-01,1370000,"program",FALSE,FALSE,FALSE,FALSE,1215,1103.05958132045,1.27458467834779e-05,-0.621619644224502
"Keep",FALSE,2013-03-20,2013-04-01,4480000,"program",FALSE,FALSE,FALSE,FALSE,12,114871.794871795,6.69450331512714e-06,-0.977954769371614
"Knowledge Graph",FALSE,2012-05-16,2013-04-01,875000,"service",FALSE,FALSE,FALSE,FALSE,320,2521.61383285303,2.08827032751341e-06,-0.598864586433795
"Latitude",FALSE,2009-02-05,2013-04-01,1340000,"service",TRUE,FALSE,FALSE,TRUE,1516,868.438107582631,1.97001674192771e-05,-0.624528760936197
"Life Search",FALSE,2007-04-18,2013-04-01,180000,"service",TRUE,FALSE,FALSE,FALSE,2175,81.7438692098093,7.20613511111027e-06,-0.371906750536679
"Local Business Center",FALSE,2005-03-15,2013-04-01,128000,"service",TRUE,FALSE,FALSE,FALSE,2939,43.155765340526,1.63690894948882e-05,-0.341631258007333
"Map Maker",FALSE,2008-06-23,2013-04-01,1290000,"service",FALSE,FALSE,FALSE,FALSE,1743,728.813559322034,2.67804462640188e-05,-0.626094132913426
"Maps",FALSE,2005-02-08,2013-04-01,1.89e+08,"service",TRUE,FALSE,TRUE,FALSE,2974,62979.0069976674,0.0254907717754267,-3.01151139987566
"Maps App",FALSE,2012-12-13,2013-04-01,13300000,"program",FALSE,FALSE,FALSE,FALSE,109,97794.1176470588,2.30319311797818e-05,-1.07603885436297
"Maps Coordinate",FALSE,2012-06-21,2013-04-01,1830000,"service",TRUE,FALSE,FALSE,FALSE,284,5884.24437299035,4.13488026381084e-06,-0.700225642965277
"Maps Navigation",FALSE,2009-10-28,2013-04-01,1380000,"program",FALSE,FALSE,FALSE,FALSE,1251,1079.81220657277,1.3561072230257e-05,-0.623157653881683
"Marratech e-Meeting",FALSE,2007-04-20,2013-04-01,8140,"program",FALSE,FALSE,TRUE,FALSE,2173,3.7,3.24888187861099e-07,-0.0875737396115066
"Mars",FALSE,2009-02-02,2013-04-01,271000,"program",FALSE,FALSE,FALSE,FALSE,1519,175.29107373868,4.00234919909745e-06,-0.415689280116047
"Meebo",FALSE,2012-06-04,2013-04-01,3230000,"service",TRUE,FALSE,TRUE,TRUE,301,9847.56097560976,7.48923726114542e-06,-0.779100586180007
"Merchant Center",FALSE,2009-09-28,2013-04-01,354000,"service",TRUE,FALSE,FALSE,FALSE,1281,270.642201834862,3.64102687936347e-06,-0.447232146834885
"Mobilizer",FALSE,2006-01-01,2013-04-01,28500,"service",FALSE,FALSE,FALSE,FALSE,2647,10.6581899775617,2.33821329398438e-06,-0.182500854176004
"Moderator",FALSE,2008-09-25,2013-04-01,173000,"service",FALSE,FALSE,FALSE,FALSE,1649,103.221957040573,3.11326725872909e-06,-0.36568934548648
"Moon",FALSE,2009-07-20,2013-04-01,225000,"program",FALSE,FALSE,FALSE,FALSE,1351,163.280116110305,2.57404654151461e-06,-0.395917234705238
"Movies",FALSE,2005-02-23,2013-04-01,260000,"service",TRUE,FALSE,FALSE,FALSE,2959,87.073007367716,3.42761226590883e-05,-0.434463590919349
"Music",FALSE,2011-09-16,2013-04-01,3280000,"service",TRUE,FALSE,FALSE,FALSE,563,5559.3220338983,1.13260511488184e-05,-0.757193951853161
"My Tracks for Android",FALSE,2009-02-12,2013-04-01,326000,"program",FALSE,TRUE,FALSE,TRUE,1509,212.239583333333,4.74199829264814e-06,-0.437041606241039
"News",FALSE,2002-03-02,2013-04-01,2.9e+07,"service",TRUE,FALSE,FALSE,FALSE,4048,7116.56441717791,0.0200153197562436,-2.26785906866924
"News Archive",FALSE,2006-06-06,2013-04-01,28200000,"service",TRUE,FALSE,TRUE,FALSE,2491,11199.3645750596,0.00182515114915749,-1.47850865807345
"Ngram Viewer",FALSE,2010-12-17,2013-04-01,1610000,"service",FALSE,FALSE,FALSE,FALSE,836,1865.58516801854,8.41903357533552e-06,-0.644528887199909
"Now",FALSE,2012-07-09,2013-04-01,4850000,"program",FALSE,FALSE,FALSE,FALSE,266,16552.9010238908,1.06627733694123e-05,-0.848504417589892
"Offers",FALSE,2011-05-26,2013-04-01,1390000,"service",TRUE,FALSE,FALSE,FALSE,676,1977.24039829303,5.69929150777368e-06,-0.628517713463286
"OpenSocial",FALSE,2007-11-01,2013-04-01,15400000,"program",FALSE,FALSE,FALSE,TRUE,1978,7680.79800498753,0.000456975919985086,-1.16325815648525
"Orkut",FALSE,2004-01-22,2013-04-01,2.36e+08,"service",TRUE,FALSE,FALSE,TRUE,3357,69739.9527186761,0.0569751794561575,-3.89249055119348
"Page Speed browser extension",FALSE,2009-06-04,2013-04-01,34700,"program",FALSE,TRUE,FALSE,FALSE,1397,24.3679775280899,4.25727850083953e-07,-0.217681405249477
"Page Speed Online API",FALSE,2011-05-11,2013-04-01,20700,"service",FALSE,FALSE,FALSE,FALSE,691,28.8300835654596,8.6831890429534e-08,-0.20673836441987
"Page Speed Service",FALSE,2011-07-28,2013-04-01,625000,"service",FALSE,FALSE,FALSE,FALSE,613,976.5625,2.32859606569849e-06,-0.530756261144852
"mod_pagespeed",FALSE,2010-11-03,2013-04-01,225000,"program",FALSE,TRUE,FALSE,FALSE,880,248.070562293275,1.2579611088669e-06,-0.405837317685417
"Panoramio",FALSE,2007-05-30,2013-04-01,1.08e+08,"service",FALSE,FALSE,TRUE,TRUE,2133,50000,0.00405625919498674,-1.96455557955049
"Patents",FALSE,2006-12-14,2013-04-01,17900000,"service",FALSE,FALSE,FALSE,FALSE,2300,7692.30769230769,0.000866575875071346,-1.26904350344498
"Personalized Search",FALSE,2004-03-29,2013-04-01,28200000,"service",FALSE,FALSE,FALSE,FALSE,3290,8501.65812481158,0.00614879651739566,-1.77708306858137
"Person Finder",FALSE,2010-01-15,2013-04-01,666000,"program",FALSE,TRUE,FALSE,TRUE,1172,555.462885738115,5.80409101189479e-06,-0.524162668236644
"Picasa",FALSE,2004-07-13,2013-04-01,1.19e+09,"program",TRUE,FALSE,TRUE,TRUE,3184,370601.058860168,0.220855339728004,-8.49058357114554
"Picasa Web Albums",FALSE,2006-06-14,2013-04-01,3.71e+09,"service",TRUE,FALSE,TRUE,TRUE,2483,1478087.64940239,0.237214986408803,-9.87376555987343
"Pinyin",FALSE,2007-04-04,2013-04-01,4210000,"program",FALSE,FALSE,FALSE,FALSE,2189,1899.81949458484,0.000172168875200998,-0.87106079446354
"Pinyin IME Android",FALSE,2009-03-29,2013-04-01,189000,"program",FALSE,TRUE,FALSE,FALSE,1464,126.760563380282,2.56742092784989e-06,-0.37617083644662
"Plugin for Eclipse",FALSE,2009-04-07,2013-04-01,91700,"program",FALSE,TRUE,FALSE,FALSE,1455,61.8758434547908,1.22874822750876e-06,-0.30310631724978
"Postini",FALSE,2007-07-09,2013-04-01,788000,"service",TRUE,FALSE,TRUE,FALSE,2093,371.698113207547,2.78497042100894e-05,-0.564234714703211
"Product Search",FALSE,2002-12-11,2013-04-01,5670000,"service",TRUE,FALSE,FALSE,FALSE,3764,1495.64758638882,0.00254128761675232,-1.22346632820808
"Profiles",FALSE,2008-12-01,2013-04-01,1960000,"service",FALSE,FALSE,FALSE,TRUE,1582,1218.14791796147,3.18561792639761e-05,-0.686198117552121
"Project Glass",FALSE,2012-05-12,2013-04-01,5940000,"thing",TRUE,FALSE,FALSE,FALSE,324,16923.0769230769,1.42628352897666e-05,-0.87260812415495
"Public Data Explorer",FALSE,2011-02-16,2013-04-01,1220000,"service",FALSE,FALSE,FALSE,FALSE,775,1521.1970074813,5.81466429616606e-06,-0.607812136886341
"Public DNS",FALSE,2009-12-03,2013-04-01,696000,"service",FALSE,FALSE,FALSE,FALSE,1215,560.386473429952,6.4752623075187e-06,-0.529702056481007
"Questions and Answers",FALSE,2007-06-28,2013-04-01,15500000,"service",FALSE,FALSE,FALSE,TRUE,2104,7273.58047864852,0.000557042267961114,-1.18672879941061
"Quick Search Box",FALSE,2009-01-12,2013-04-01,213000,"program",FALSE,FALSE,FALSE,FALSE,1540,135.928525845565,3.24779991623755e-06,-0.388693687566252
"Refine",TRUE,2010-11-10,2012-10-02,101000,"program",FALSE,TRUE,TRUE,FALSE,692,112.222222222222,5.58707813434071e-07,-0.327864934548234
"Safe Browsing API",FALSE,2007-06-18,2013-04-01,6480000,"service",FALSE,FALSE,FALSE,FALSE,2114,3026.62307333022,0.000236446751393247,-0.959928950624039
"Schemer",FALSE,2011-12-08,2013-04-01,52600,"service",FALSE,FALSE,FALSE,TRUE,480,103.747534516765,1.60101242942689e-07,-0.296659046086603
"Scholar",FALSE,2004-12-17,2013-04-01,35500000,"service",FALSE,FALSE,FALSE,FALSE,3027,11624.0995415848,0.00518966791881227,-1.77925936510485
"Scripting Layer for Android",FALSE,2009-06-08,2013-04-01,2490000,"program",FALSE,TRUE,FALSE,FALSE,1393,1753.52112676056,3.03641533799291e-05,-0.718054525709645
"Search",FALSE,1997-09-15,2013-04-01,93400000,"service",TRUE,FALSE,FALSE,FALSE,5677,16374.4740532959,0.76693728275671,-36.5685689860683
"Search Appliance",FALSE,2002-02-11,2013-04-01,984000,"thing",TRUE,FALSE,FALSE,FALSE,4067,240.351734245237,0.000699041936803772,-0.754507906085783
"Search for Android",FALSE,2008-09-23,2013-04-01,2290000,"program",TRUE,FALSE,FALSE,FALSE,1651,1364.71990464839,4.13357823907375e-05,-0.715163500266951
"Shopper",FALSE,2011-02-01,2013-04-01,361000,"program",TRUE,FALSE,FALSE,FALSE,790,441.860465116279,1.76025204526327e-06,-0.459695813207112
"Shopping",FALSE,2002-12-11,2013-04-01,3120000,"service",TRUE,FALSE,FALSE,FALSE,3764,823.001846478502,0.00139838048752509,-1.02137987214023
"Sites",FALSE,2006-11-01,2013-04-01,15600000,"service",TRUE,FALSE,TRUE,FALSE,2343,6582.27848101266,0.000806243643238589,-1.23430892531146
"SketchUp",TRUE,2006-03-14,2012-04-26,30300000,"program",FALSE,TRUE,TRUE,FALSE,2235,11644.8885472713,0.00222816968487402,-1.53320362373333
"Sky",FALSE,2007-08-27,2013-04-01,1030000,"program",FALSE,FALSE,FALSE,FALSE,2044,497.344278126509,3.37895428684313e-05,-0.603114703107512
"Sky Map for Android",TRUE,2009-05-12,2012-01-20,247000,"program",FALSE,TRUE,FALSE,FALSE,983,170.69799585349,3.13822367876929e-06,-0.405615156304305
"SMS",FALSE,2004-10-07,2013-04-01,619000,"service",FALSE,FALSE,FALSE,FALSE,3098,198.08,0.0001008034295545,-0.574709479950475
"SMS Channels",FALSE,2008-09-25,2013-04-01,2440000,"service",TRUE,FALSE,FALSE,FALSE,1649,1455.84725536993,4.39096653832311e-05,-0.725911522506465
"Speak To Tweet",FALSE,2011-01-31,2013-04-01,351000,"service",FALSE,FALSE,FALSE,FALSE,791,429.095354523227,1.71409528978703e-06,-0.456567772301737
"Street View",FALSE,2007-05-25,2013-04-01,1.07e+08,"service",TRUE,FALSE,FALSE,FALSE,2138,49422.6327944573,0.00404936260143661,-1.96184055874104
"Suggest",FALSE,2008-08-25,2013-04-01,628000,"service",FALSE,FALSE,FALSE,FALSE,1680,367.896895137668,1.18466570054121e-05,-0.520811128370549
"Swiffy",FALSE,2011-06-28,2013-04-01,228000,"service",FALSE,FALSE,FALSE,FALSE,643,340.298507462687,8.89108309849979e-07,-0.418416968627576
"Sync",FALSE,2009-02-09,2013-04-01,1120000,"service",FALSE,FALSE,FALSE,FALSE,1512,727.745289148798,1.63659938599639e-05,-0.59798264718222
"Takeout",FALSE,2011-06-28,2013-04-01,450000,"service",FALSE,FALSE,FALSE,FALSE,643,671.641791044776,1.75481903259864e-06,-0.491183431324687
"Talk",FALSE,2005-08-24,2013-04-01,25800000,"service",FALSE,FALSE,FALSE,TRUE,2777,9201.14122681883,0.00257919148241873,-1.53131796850198
"Toolbar",FALSE,2000-12-11,2013-04-01,5270000,"program",FALSE,FALSE,FALSE,FALSE,4494,1165.67131165671,0.00716505612800466,-1.42978558720455
"Trader",FALSE,2009-11-02,2013-04-01,650000,"service",TRUE,FALSE,FALSE,FALSE,1246,510.604870384917,6.3390963481653e-06,-0.520988688616063
"Transit",FALSE,2005-12-07,2013-04-01,579000,"service",FALSE,FALSE,FALSE,FALSE,2672,214.523897739904,4.9342660524986e-05,-0.541350397854643
"Translate",FALSE,2001-03-08,2013-04-01,1.38e+08,"service",FALSE,FALSE,TRUE,FALSE,4407,31123.1393775372,0.164380991319876,-5.72988910012236
"Translator Toolkit",FALSE,2009-06-08,2013-04-01,520000,"service",FALSE,FALSE,FALSE,FALSE,1393,366.197183098592,6.34110833637073e-06,-0.493227485023135
"Transliteration",FALSE,2007-08-23,2013-04-01,227000,"service",FALSE,FALSE,FALSE,FALSE,2048,109.397590361446,7.49224043909241e-06,-0.397825030858619
"Trendalyzer",FALSE,2007-03-16,2013-04-01,23200,"service",FALSE,FALSE,FALSE,FALSE,2208,10.3803131991051,9.76571686524453e-07,-0.169078274878926
"Trends",FALSE,2006-05-10,2013-04-01,5010000,"service",FALSE,FALSE,FALSE,FALSE,2518,1968.56581532416,0.000337841164987175,-0.948970663431175
"Trusted Stores",FALSE,2012-06-07,2013-04-01,2960000,"service",TRUE,FALSE,FALSE,FALSE,298,9107.69230769231,6.83197408113279e-06,-0.766517040149094
"TV",FALSE,2010-10-06,2013-04-01,10300000,"thing",TRUE,FALSE,FALSE,FALSE,908,11016.0427807487,6.00906944233317e-05,-0.957555323159368
"Voice",FALSE,2009-03-11,2013-04-01,5760000,"service",TRUE,FALSE,TRUE,FALSE,1482,3817.09741550696,8.04157588160946e-05,-0.874733008885554
"Voice app",FALSE,2009-07-15,2013-04-01,407000,"program",TRUE,FALSE,FALSE,FALSE,1356,294.287780187997,4.69168918195632e-06,-0.463299824112569
"Voice Search",FALSE,2011-06-14,2013-04-01,3990000,"service",FALSE,FALSE,FALSE,FALSE,657,5833.33333333333,1.5894079054184e-05,-0.784767973296891
"WalkyTalky",FALSE,2010-10-08,2013-04-01,57700,"program",FALSE,TRUE,FALSE,FALSE,906,61.8435155412647,3.35602689533774e-07,-0.276683019706615
"Wallet",FALSE,2011-05-26,2013-04-01,4590000,"program",TRUE,FALSE,FALSE,FALSE,676,6529.16073968706,1.88199626048066e-05,-0.807312079947605
"WDYL search engine",FALSE,2011-06-27,2013-04-01,33800,"service",TRUE,FALSE,FALSE,FALSE,644,50.3725782414307,1.32006924179883e-07,-0.247433405024827
"Web Application Exploits and Defenses",FALSE,2010-05-04,2013-04-01,1290000,"service",FALSE,TRUE,FALSE,FALSE,1063,1183.48623853211,9.52552797012972e-06,-0.612048458398494
"Web Fonts",FALSE,2010-05-19,2013-04-01,1070000,"service",FALSE,TRUE,FALSE,FALSE,1048,995.348837209302,7.72289773142593e-06,-0.586433189472664
"Web History",FALSE,2007-04-19,2013-04-01,8810000,"service",FALSE,FALSE,FALSE,FALSE,2174,4002.72603362108,0.000352164532356445,-1.04317709147162
"Webmaster Tools",FALSE,2005-06-02,2013-04-01,13100000,"service",FALSE,FALSE,FALSE,FALSE,2860,4537.58226532733,0.00148569920530088,-1.29304637577819
"Website Optimizer",FALSE,2006-10-18,2013-04-01,1370000,"service",TRUE,FALSE,FALSE,FALSE,2357,574.664429530201,7.23277446699331e-05,-0.666413311011996
"Web Toolkit",FALSE,2006-05-16,2013-04-01,2300000,"program",FALSE,TRUE,FALSE,FALSE,2512,905.868452146514,0.000153688559523009,-0.775449034293877
"WiFi",FALSE,2005-09-20,2013-04-01,210000,"service",FALSE,FALSE,FALSE,FALSE,2750,75.6211739287,2.01492118188688e-05,-0.400073820059765
"YouTube",FALSE,2006-10-06,2013-04-01,3.86e+09,"service",TRUE,FALSE,TRUE,TRUE,2369,1611018.3639399,0.207536234509786,-9.08924490268645
"YouTube Remote",FALSE,2010-11-10,2013-04-01,102000,"program",FALSE,FALSE,FALSE,FALSE,873,113.333333333333,5.64239573963121e-07,-0.328774213999146
"Zeitgeist",FALSE,2001-12-14,2013-04-01,5150000,"service",FALSE,FALSE,FALSE,FALSE,4126,1240.06742114134,0.00400190276678014,-1.29015394740164
"Google Earth Outreach",FALSE,2007-06-26,2013-04-01,1060000,"other",FALSE,FALSE,FALSE,FALSE,2106,496.952648851383,3.82104978449958e-05,-0.610327413826578
"Etherpad",TRUE,2009-12-04,2010-05-14,5020000,"program",FALSE,TRUE,TRUE,TRUE,161,4045.12489927478,4.66328173284402e-05,-0.832758060079781
"reCAPTCHA",FALSE,2009-09-16,2013-04-01,3270000,"service",FALSE,FALSE,TRUE,FALSE,1293,2477.27272727273,3.42523716651522e-05,-0.76007585449622
"Quickoffice",FALSE,2012-06-05,2013-04-01,3020000,"program",FALSE,FALSE,TRUE,FALSE,300,9235.47400611621,6.99168447011774e-06,-0.769182838782606
"PlinkArt",FALSE,2010-04-12,2013-04-01,50100,"program",FALSE,FALSE,TRUE,FALSE,1085,45.0539568345324,3.82526245345671e-07,-0.2576976220015
"VP codecs",FALSE,2010-02-19,2013-04-01,225000,"program",FALSE,TRUE,TRUE,FALSE,1137,193.298969072165,1.85924180439645e-06,-0.398946699412086
"GreenBorder",FALSE,2007-05-30,2013-04-01,72900,"program",TRUE,FALSE,TRUE,FALSE,2133,33.75,2.73797495661605e-06,-0.274742364043155
"BufferBox",FALSE,2012-11-30,2013-04-01,256000,"service",TRUE,FALSE,TRUE,FALSE,122,1718.12080536913,4.52169370139648e-07,-0.509882938225496
"skia",FALSE,2005-11-01,2013-04-01,286000,"program",FALSE,TRUE,TRUE,FALSE,2708,104.570383912249,2.5744048706056e-05,-0.440023209470671
"WebRTC",FALSE,2010-05-18,2013-04-01,1950000,"program",FALSE,TRUE,FALSE,FALSE,1049,1812.26765799257,1.4095851210008e-05,-0.671672576447165
"Advisor",FALSE,2011-05-19,2013-04-01,70700,"service",TRUE,FALSE,FALSE,FALSE,683,99.5774647887324,2.9298596034827e-07,-0.305849412513129
"Storage",FALSE,2010-05-19,2013-04-01,317000,"service",TRUE,FALSE,FALSE,FALSE,1048,294.883720930233,2.28799867370282e-06,-0.437839097886648
"Cloud Messaging",FALSE,2012-06-27,2013-04-01,138000,"service",FALSE,FALSE,FALSE,FALSE,278,452.459016393443,3.08979594273446e-07,-0.407918680580013
"Dynamic Views",FALSE,2011-09-27,2013-04-01,217000,"service",FALSE,FALSE,FALSE,FALSE,552,374.784110535406,7.36889428193534e-07,-0.41968857357322
"Magnifier",FALSE,2011-08-17,2013-04-01,9180,"service",TRUE,FALSE,FALSE,FALSE,593,14.8064516129032,3.31782164699973e-08,-0.156495252385447
"Admeld",FALSE,2011-06-09,2013-04-01,123000,"service",TRUE,FALSE,TRUE,FALSE,662,178.519593613933,4.93706143269074e-07,-0.35704030031251
"schema.org",FALSE,2011-06-02,2013-04-01,15300000,"program",FALSE,TRUE,FALSE,FALSE,669,21982.7586206897,6.20692040248632e-05,-1.03207853462006
"Social Search",FALSE,2009-10-26,2013-04-01,1790000,"service",FALSE,FALSE,FALSE,TRUE,1253,1398.4375,1.76436466847947e-05,-0.661765337098833
"Priority Inbox",FALSE,2010-08-30,2013-04-01,222000,"service",FALSE,FALSE,FALSE,FALSE,945,228.395061728395,1.37009278178699e-06,-0.402283153676033
