"Sleep.Date","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Morning.Feel","MP","Disturbance"
2013-03-06,99,561,5,24,217,305,39,5,2,"4",-2.1994254207301
2013-03-07,109,628,49,44,216,350,63,10,1,"2",3.66057871025608
2013-03-08,108,583,6,6,202,311,71,6,3,"3",-2.7796898958315
2013-03-09,103,578,24,20,190,328,60,6,3,"2",-0.738593434653609
2013-03-10,91,514,44,21,178,289,48,6,2,"4",0.736540392336771
2013-03-11,110,615,32,11,195,361,60,4,3,"3",-1.3186012937295
2013-03-12,93,545,15,11,174,336,36,6,3,"3",-1.86806930140844
2013-03-13,102,590,2,9,191,356,44,6,3,"2",-2.90043244336416
2013-03-14,94,543,21,28,199,293,52,10,3,"2",0.800219608458588
2013-03-15,99,544,21,10,172,310,62,5,2,"3",-1.82538286676534
2013-03-16,92,509,21,8,177,282,50,4,3,"3",-2.26336125287742
2013-03-17,109,601,1,9,205,339,57,4,4,"3",-3.62956744370192
2013-03-18,100,526,40,11,196,263,67,4,4,"2",-0.750333290166528
2013-03-19,91,513,3,14,186,283,44,5,2,"4",-2.88613060245027
2013-03-20,102,568,2,8,195,325,49,3,3,"3",-3.94204851128568
2013-03-21,89,495,2,13,147,290,58,5,3,"3",-3.01162792097858
2013-03-22,98,534,3,4,172,305,58,4,4,"3",-3.75981953322589
2013-03-23,77,425,1,2,135,252,39,1,4,"3",-4.99796642012109
2013-03-24,85,503,15,21,162,304,37,7,2,"4",-0.99438037063282
2013-03-25,93,507,5,4,175,281,52,3,4,"4",-3.94680328228134
2013-03-26,94,523,1,13,164,301,58,5,4,"3",-3.08266142142395
2013-03-27,86,492,3,10,141,308,44,4,4,"3",-3.43303662472823
2013-03-28,101,551,1,2,212,293,47,4,3,"3",-4.01081417028252
2013-03-29,100,537,2,3,195,286,56,2,3,"3",-4.54341835164659
2013-03-30,103,554,1,11,183,304,67,4,3,"2",-3.52063980753603
2013-03-31,42,232,3,2,63,145,25,1,1,"3",-4.85589941923035
2013-04-01,102,537,2,3,152,309,76,2,3,"2",-4.54341835164659
2013-04-02,83,458,17,10,143,264,52,4,3,"2",-2.43856761849302
2013-04-03,106,561,20,9,189,299,73,2,2,"3",-2.93803243513224
2013-04-04,78,427,22,9,113,254,60,4,3,"3",-2.13786393434911
2013-04-05,95,522,23,36,150,299,74,5,3,"2",-0.267256595718094
2013-04-06,96,510,23,10,189,257,65,4,4,"3",-2.01236661582079
2013-04-07,100,530,34,15,202,252,76,7,4,"2",0.0284732293315904
2013-04-08,99,520,23,16,179,264,78,5,3,"3",-1.35653295737694
2013-04-09,63,390,56,161,171,166,54,7,1,"2",9.54292767923938
2013-04-10,100,561,10,8,168,338,55,5,4,"3",-2.71567900783032
2013-04-11,102,559,33,10,188,308,63,6,4,"3",-0.643930111474687
2013-04-12,104,587,22,20,191,331,66,9,4,"2",0.106491814294227
2013-04-13,93,513,21,74,178,267,68,3,3,"2",1.00219999065059
2013-04-14,100,568,24,24,192,326,51,6,3,"3",-0.520738162321839
2013-04-15,97,555,34,19,194,310,51,8,3,"3",0.575379251609554
2013-04-16,106,573,22,17,206,291,76,8,2,"3",-0.385950389900794
2013-04-17,84,452,100,14,176,214,63,8,1,"4",4.99127119058939
2013-04-18,100,569,39,54,205,294,70,11,2,"4",3.82393263657798
2013-04-19,111,621,29,16,208,353,60,6,2,"3",-0.60128120475852
2013-04-20,68,383,28,37,114,223,46,2,3,"2",-0.844777525246872
2013-04-21,79,447,20,21,114,276,58,6,3,"2",-0.968263618352154
2013-04-22,83,459,28,11,157,255,47,4,3,"3",-1.60273529551099
2013-04-23,93,529,17,43,169,297,64,7,2,"2",0.345890628082659
2013-04-24,105,594,27,30,190,330,74,11,4,"3",1.6643989972429
