"Sleep.Date","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Morning.Feel","MP","Disturbance"
2012-05-16,99,561,27,29,201,297,64,11,4,"4",1.60993517915996
2012-05-18,101,553,26,12,174,309,71,6,2,"4",-1.03223697842641
2012-05-19,81,454,20,41,147,247,60,6,2,"3",0.121012743306697
2012-05-20,103,553,16,9,174,309,71,4,3,"3",-2.56406493702134
2012-05-21,88,500,24,40,155,285,60,6,3,"3",0.350682927005242
2012-05-22,90,511,22,10,145,313,53,5,2,"3",-1.75434936631997
2012-05-23,73,396,31,8,88,244,65,4,2,"2",-1.5530262484237
2012-05-24,118,650,11,19,233,347,70,7,4,"3",-1.38744200858019
2012-05-25,83,485,26,34,138,288,60,10,3,"4",1.4821700191831
2012-05-27,95,543,12,14,168,317,59,10,3,"2",-0.601575348710954
2012-05-28,98,539,30,12,207,275,57,8,3,"2",-0.0900014767525316
2012-05-29,87,486,27,13,171,265,50,6,2,"4",-0.906739659898091
2012-05-30,88,505,22,25,162,281,63,12,3,"3",1.36596315454752
2012-05-31,92,524,24,17,139,320,65,9,2,"3",0.0851673609361431
2012-06-01,76,427,31,10,115,269,43,2,2,"2",-2.1022001121502
2012-06-02,101,552,15,24,163,309,81,7,3,"2",-0.830988916383993
2012-06-03,84,486,20,32,137,288,62,9,2,"2",0.617990630398793
2012-06-04,100,547,17,16,189,292,67,7,3,"2",-1.12463246015679
2012-06-05,97,567,24,26,173,337,57,10,2,"3",0.904392473628819
2012-06-06,95,547,23,28,173,321,54,8,3,"4",0.284185109456946
2012-06-07,98,550,22,20,159,321,70,8,2,"2",-0.222558935651966
2012-06-08,84,461,20,24,164,237,60,6,3,"4",-0.804872164103327
2012-06-09,95,506,26,12,151,281,75,5,2,"4",-1.3612877283726
2012-06-10,81,470,21,50,142,270,58,7,3,"3",1.01127135644474
2012-06-11,91,510,23,24,167,284,59,7,2,"3",-0.262720912821018
2012-06-12,90,519,23,31,170,291,59,11,3,"3",1.43472881354435
2012-06-13,87,474,27,13,151,254,69,8,3,"2",-0.248638160005705
2012-06-14,85,484,16,15,145,284,55,8,3,"4",-0.92107902873891
